PST203	ho portato un regalo
PST213	boh vedremo
PST213	scoprendolo
PST098	usted ha estado alguna vez en latino américa
PST213	sì
PST213	eh ho passato un anno in ecuador
PST098	ah
PST213	mh
PST213	e sei mesi in brasile
PST098	in brasile è bello
PST213	sì mi è piaciuto tanto
PST213	sì sì sì
PST213	e adesso ho un po' perso l'accento però
PST098	sa parlare più eh portoghese
PST213	sì
PST213	sì cioè lo capisco ancora
PST213	tipo alcuni podcast li ascolto in brasiliano e tutto però non
PST098	lei lo xx ricordare
PST213	se devo parlarlo eh eh secondo me è veramente bello
PST098	mio fratello cioè non è che parla più portoghese però
PST098	lui ha lavorato dove c'erano tutti i brasile~ eh i brasili~ eh
PST213	in italiano brasiliani
PST098	brasiliani
PST213	mh mh
PST098	e quindi lui ha imparato anche a parlare portoghese
PST213	mh mh
PST098	sempre in casa parla
PST098	io non lo capisco però parla
PST213	sì eh
PST213	è bello a voi piace
PST213	no
PST099	il portoghese
PST213	mh mh
PST099	sì
PST213	mh
PST213	non ti piacciono tanto le lingue o sì
PST099	sì ma è difficile
PST099	tipo parlarlo
PST213	mh
PST099	perché ti mette in dificultad
PST213	mh
PST099	quindi non lo so
PST213	mh mh
PST213	secondo me la cosa stressante di imparare una nuova lingua
PST213	quando
PST213	più o meno capisci quello che ti dicono
PST213	e tu vorresti dire le cose
PST213	però non sai parlare bene tanto quanto capisci e quindi
PST098	ti stressi
PST213	sì perlomeno per me questa è la cosa più stressante quando sì
PST213	quando sono in quella posizione oppure quando capisci però non tanto e quindi devi stare attentissimo
PST213	e poi ci sono magari due tre parole che non hai capito però non sai neanche come chiederle perché non le hai capite quindi tipo che cosa hai detto o mio dio
PST213	adesso tocca a me devo rispondere non ho capito bene cosa hai de~ sì
PST213	quindi capisco è stressante imparare le lingue
PST213	mh
PST098	a parte es poner mucha responsabilidad para . aprender un idioma
PST213	in che senso
PST098	nel senso che devi sempre stare lì sempre ascoltare cioé
PST098	imparare leggere come si
PST213	ricordarti
PST098	ricordare i pronomi relativi e tutte le cose ehm
PST213	sì
PST098	a me non piacciono mai piaciuto
PST213	no no no
PST213	no neanche a me
PST213	neanche a me poi io avevo al liceo avevo studiato lingue avevo fatto inglese francese e spagnolo
PST213	e quindi alla scuola sai che insegnano la grammatica i pronomi relativi e tutte quellle cose
PST213	io ho detto no no no mai più e però tipo il portoghese io l'ho imparato là in brasile
PST213	quindi ho saltato tutta quella parte di teoria di grammatica ma
PST213	la gente mi parlava e io dovevo capire e dovevo
PST098	mh
PST213	cioè secondo me
PST213	se vai in un posto
PST213	è un pochino più facile imparare
PST213	imparare una lingua
PST098	sì
PST213	cioè un po' di basi le sapevo
PST213	perché me le avevano già insegnate quindi due tre cose le sapevo dire poi sapendo lo spagnolo comunque
PST213	è simile
PST213	però secondo me è molto più mh
PST213	perlomeno per me è molto più facile impararla perché
PST213	le persone ti parlano piuttosto che stare in un libro e vedere le cose perché
PST098	mh mh
PST213	cioè dai che stai lì e ti impari a memoria i pronomi relativi dai boh non lo so
PST213	a voi piace studiare le lingue
PST213	no eh
PST213	e con l'italiano come come avete fatto o come fate
PST089	es que
PST089	los que yo sento està escrito asì como . escuchando . xxx mancar la cabeza
PST213	mh
PST213	mh
PST089	porque . el c~ la lingua si se sigue aprender xxx hay que escribir mucho
PST213	mh mh
PST089	y no me gusta asì ride
PST213	non ti piace eh mh
PST213	anche perché poi
PST213	mi immagino che da spagnoli
PST213	non sia così tanto facile imparare a scrivere n italiano no
PST098	mh porque hay las dobles letras
PST213	eh
PST213	che sono difficili no da sentire
PST098	sempre
PST098	siempre yo me confundo en eso
PST213	mh mh
PST098	en las dobles letras
PST213	mh mh
PST213	perché non non lo senti tanto vero
PST098	mh mh
PST213	mh
PST213	eh questo è complicato
PST098	si s~ siempre en el tema de hablar . puedo mucho pero al tema de escribir es como que un poco
PST213	mh mh
PST213	mh mh mh mh
PST098	un po' complicato
PST213	sì
PST213	stiamo andando
PST203	con calma sì
PST213	con calma
PST099	abbiamo xxxx
PST213	sai che non lo so dove stiamo andando
PST203	come non lo sai
PST203	come non lo sai
PST213	come non lo so non ti sei studiata il program~ no
PST203	no no andiamo a fare arriva questa
PST213	sì
PST203	persona che insomma ci dà due dritte un po' più professionali su come si
PST203	su come si fa una visita guidata perché questa è proprio una guida turistica
PST213	okay
PST203	e quindi le facciamo vedere il nostro giro le raccontiamo un po' cosa stiamo facendo
PST213	e ti dà due dritte
PST203	e ci ci dirà qualcosina non
PST203	non so bene se si è preparata qualcosa però ha detto
PST203	voi fateci vedere cosa volete fare io magari
PST213	okay
PST203	vi do due elementi in più
PST213	okay quindi gireremo n~ n~ andiamo in un posto
PST203	sì sì
PST211	sì facciamo lo stesso percorso
PST211	ci ricordiamo un po' quello che ci siamo detti nelle scorse volte le domande che volevate fare
PST211	e così
PST213	mh mh
PST211	e lei ci darà il suo parere
PST213	okay
PST203	com'è ragazzi state bene
PST089	sì
PST098	più o meno
PST203	più o meno
PST098	la gola
PST203	ah la gola eh hai mal di gola
PST213	ma sta girando eh in questi giorni
PST098	mh
PST213	mh anche tanti miei amici stanno male
PST203	no a me è già girato spero che non torni
PST213	eh
PST203	andiamo
PST211	pronti
