code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
STIR022	semistructured-interview	00:19:56	2	PST055;PST211	italian	TO	fixed	yes	asymmetric	_	yes
STIR023	semistructured-interview	00:21:43	3	PST056;PST057;PST211	italian	TO	fixed	yes	asymmetric	_	no
STIR024	semistructured-interview	00:09:32	2	PST058;PST211	italian	TO	fixed	yes	asymmetric	_	no
STIR025	semistructured-interview	00:27:04	3	PST059;PST211;PST212	italian	TO	fixed	yes	asymmetric	_	no
STIR026	semistructured-interview	00:20:30	2	PST060;PST212	italian;other	TO	fixed	yes	asymmetric	_	yes
STIR027	semistructured-interview	00:42:37	2	PST077;PST082	italian;other	TO	fixed	yes	asymmetric	_	no
STIR028	semistructured-interview	00:39:36	2	PST082;PST091	italian;other	TO	fixed	yes	asymmetric	_	no
STIR029	semistructured-interview	00:50:12	4	PST083;PST102;PST203;PST211	italian;other	TO	fixed	yes	asymmetric	_	no
STIR030	semistructured-interview	00:36:32	3	PST092;PST094;PST203	italian;other	TO	fixed	yes	asymmetric	_	no
STCR002	free-conversation	00:33:26	6	PST082;PST083;PST085;PST093;PST094;PST203	italian;other	TO	free	no	symmetric	_	yes
STCR003	free-conversation	00:30:10	5	PST086;PST087;PST092;PST094;PST203	italian;other	TO	free	no	symmetric	_	yes
STCR004	free-conversation	00:10:43	7	PST083;PST085;PST087;PST092;PST093;PST203;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR005	free-conversation	00:46:16	8	PST082;PST083;PST086;PST087;PST092;PST093;PST100;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR006	free-conversation	00:20:06	4	PST086;PST087;PST092;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR007	free-conversation	00:29:02	4	PST082;PST083;PST087;PST092	italian;other	TO	free	no	symmetric	_	yes
STCR008	free-conversation	01:02:26	7	PST083;PST085;PST086;PST092;PST100;PST203;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR009	free-conversation	00:14:29	6	PST085;PST087;PST092;PST094;PST203;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR010	free-conversation	00:25:50	7	PST085;PST086;PST087;PST092;PST094;PST203;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR011	free-conversation	00:47:56	4	PST087;PST092;PST203;PST211	italian;other	TO	free	no	symmetric	_	no
STCR012	free-conversation	00:06:00	5	PST085;PST087;PST092;PST203;PST211	italian;other	TO	free	no	symmetric	_	yes
STCR013	free-conversation	00:28:12	8	PST085;PST086;PST087;PST092;PST094;PST203;PST211;PST212	italian;other	TO	free	no	symmetric	_	yes
STCR014	free-conversation	00:30:50	5	PST087;PST092;PST203;PST211;PST212	italian;other	TO	free	no	symmetric	_	no
STCR015	free-conversation	00:31:06	3	PST118;PST119;PST120	italian;other	TO	free	no	symmetric	_	yes
STCR016	free-conversation	00:40:17	8	PST083;PST085;PST086;PST087;PST092;PST093;PST203;PST211	italian;other	TO	free	no	symmetric	_	no
